Data,Volume (hm³),Volume (%),Chuva (mm),Vazão natural (m³/s),Vazão a jusante (m³/s)
2011-01-01,735.97625,74.94117,0.1,30.346,5.5
2011-01-02,739.48751,75.29871,36.25,70.475,5.5
2011-01-03,749.68231,76.3368,50.1,147.125,4.48
2011-01-04,774.73991,78.8883,43.95,321.239,2.27
2011-01-05,791.33379,80.57798,8.2,223.21,2
2011-01-06,802.94704,81.76051,13.35,168.225,2
2011-01-07,814.62221,82.94934,13.15,168.489,2
2011-01-08,822.60966,83.76266,3.8,125.485,2.23
2011-01-09,829.30221,84.44414,8.9,110.511,2.5
2011-01-10,834.65826,84.98952,9.4,95.058,2.5
2011-01-11,849.79729,86.53106,89.7,204.393,2.5
2011-01-12,865.81799,88.16237,19.05,251.124,38.81
2011-01-13,876.93801,89.29468,45.9,239.453,84.12
2011-01-14,908.58705,92.51736,34.05,449.524,52.58
2011-01-15,922.73507,93.95799,18.9,242.383,47.68
2011-01-16,927.24089,94.41679,0,147.436,63.85
2011-01-17,932.58881,94.96135,25.65,155.375,62.82
2011-01-18,939.13868,95.62829,14.55,171.854,63.12
2011-01-19,943.78657,96.10157,18.725,169.244,82.7
2011-01-20,945.13794,96.23917,4.3,131.775,82.83
2011-01-21,946.76062,96.4044,3.7,134.379,82.83
2011-01-22,946.47525,96.37534,0,113.301,82.83
2011-01-23,944.96146,96.2212,1.85,96.914,82.83
2011-01-24,941.99775,95.91942,2.1,81.165,82.22
2011-01-25,937.85755,95.49784,0,67.28,82.26
2011-01-26,934.17052,95.12241,5.5,69.344,82
2011-01-27,930.14601,94.71261,10.2,68.576,81.69
2011-01-28,926.02355,94.29284,4.7,66.849,81.25
2011-01-29,921.93149,93.87616,0.15,67.309,81.11
2011-01-30,916.81257,93.35492,0.05,53.428,80.8
2011-01-31,911.52861,92.81688,0,50.672,80.4
2011-02-01,906.66944,92.32209,7.55,56.931,79.86
2011-02-02,901.9532,91.84186,0,58.613,79.54
2011-02-03,899.64166,91.60649,10.25,85.367,79.45
2011-02-04,896.94161,91.33155,0.6,79.578,78.9
2011-02-05,890.83062,90.7093,0.4,40.531,78.9
2011-02-06,884.79854,90.09508,0.05,41.043,78.45
2011-02-07,879.3404,89.5393,1.05,46.411,78.03
2011-02-08,873.59731,88.95451,0,46.437,80.33
2011-02-09,870.75438,88.66502,0.85,38.756,39.26
2011-02-10,868.57542,88.44315,0.6,39.089,30.94
2011-02-11,865.97845,88.17871,0.3,33.972,30.94
2011-02-12,865.0559,88.08477,18.65,53.695,30.93
2011-02-13,863.19232,87.89501,0.1,41.774,30.93
2011-02-14,861.43434,87.71601,2,41.729,30.93
2011-02-15,861.44772,87.71737,22.35,63.673,30.94
2011-02-16,861.98144,87.77172,18.85,67.01,28.87
2011-02-17,862.58661,87.83334,14.15,64.37,26.51
2011-02-18,862.19043,87.793,2,63.711,35.9
2011-02-19,860.51221,87.62211,2.3,49.913,36.53
2011-02-20,858.4056,87.4076,0.1,44.023,36.49
2011-02-21,856.48785,87.21233,0.05,44.105,36.49
2011-02-22,855.17219,87.07836,3.7,52.499,36.49
2011-02-23,852.2795,86.78381,13.4,35.628,36.49
2011-02-24,851.45297,86.69965,3.6,58.837,36.49
2011-02-25,849.88952,86.54045,2.95,50.623,36.49
2011-02-26,847.9778,86.34579,2.65,47.094,36.49
2011-02-27,846.5912,86.2046,0,48.612,33.65
2011-02-28,847.3079,86.27757,35.25,73.904,35.62
2011-03-01,861.69694,87.74275,56.05,217.629,23.31
2011-03-02,865.13425,88.09275,1.8,99.796,29.1
2011-03-03,867.40658,88.32413,19.9,92.675,35.98
2011-03-04,870.35995,88.62486,5.55,105.001,40.77
2011-03-05,872.28246,88.82062,9.65,102.497,50.46
2011-03-06,874.17855,89.01369,7.2,99.932,50.46
2011-03-07,876.5421,89.25436,4.3,104.808,50.46
2011-03-08,877.52988,89.35494,1.9,91.54,50.46
2011-03-09,878.82313,89.48663,0.6,94.05,50.46
2011-03-10,879.77442,89.58349,0.05,94.188,51.5
2011-03-11,879.47177,89.55268,0,85.275,57.33
2011-03-12,878.70784,89.47489,0.1,85.64,61.5
2011-03-13,876.51243,89.25134,1.3,66.301,61.5
2011-03-14,874.22933,89.01886,0,64.97,61.5
2011-03-15,871.66335,88.75758,0.1,63.906,61.5
2011-03-16,868.50264,88.43574,0.45,56.071,61.5
2011-03-17,866.34253,88.21579,0.85,67.524,61.5
2011-03-18,865.55579,88.13568,0.35,67.371,44
2011-03-19,865.45862,88.12578,9.9,73.87,42.59
2011-03-20,865.81001,88.16156,1.7,78.499,43
2011-03-21,865.36322,88.11607,1.9,67.297,43
2011-03-22,864.08993,87.98641,0.5,60.274,43
2011-03-23,863.14498,87.89019,0,64.165,43
2011-03-24,861.21782,87.69396,0,50.441,43
2011-03-25,859.44011,87.51294,0.45,54.833,43
2011-03-26,857.44863,87.31016,0.15,52.282,43
2011-03-27,855.53377,87.11518,0,52.177,43
2011-03-28,853.74266,86.9328,0.05,54.893,44.76
2011-03-29,852.39054,86.79512,0.05,44.714,28.5
2011-03-30,855.47043,87.10873,5.5,91.78,23.5
2011-03-31,857.42733,87.30799,2,75.203,22
2011-04-01,858.82178,87.44998,0,60.286,15.3
2011-04-02,859.31498,87.5002,0.15,41.538,3.5
2011-04-03,864.80684,88.05941,20.3,97.901,3.5
2011-04-04,867.91231,88.37563,10.85,68.162,3.5
2011-04-05,872.38408,88.83097,6.1,86.521,3.5
2011-04-06,875.48006,89.14622,9.55,70.676,3.5
2011-04-07,877.67526,89.36975,0.05,60.554,3.5
2011-04-08,879.73923,89.57991,0.05,58.661,3.5
2011-04-09,880.98168,89.70643,0.05,49.468,3.5
2011-04-10,882.12093,89.82243,2.9,48.163,3.5
2011-04-11,886.05118,90.22263,19.15,78.707,3.5
2011-04-12,888.6821,90.49052,0.4,66.951,3.5
2011-04-13,895.30736,91.16514,26.7,111.286,3.5
2011-04-14,898.19055,91.45873,0.15,67.941,3.5
2011-04-15,900.92704,91.73737,0.15,67.405,3.5
2011-04-16,902.83943,91.9321,0.1,59.322,3.5
2011-04-17,905.73255,92.2267,0.05,70.327,3.5
2011-04-18,905.48726,92.20172,0.05,30.604,3.5
2011-04-19,907.79886,92.4371,0,62.978,3.5
2011-04-20,907.57268,92.41407,0.05,32.259,3.5
2011-04-21,907.92711,92.45016,0,40.725,5
2011-04-22,907.93872,92.45134,0.05,36.33,6
2011-04-23,908.21377,92.47935,0,38.101,6
2011-04-24,909.08243,92.5678,0,45.805,6
2011-04-25,910.1398,92.67547,0,46.175,6
2011-04-26,913.09652,92.97654,3,72.015,5.69
2011-04-27,913.66618,93.03454,0.05,43.285,5.5
2011-04-28,913.90649,93.05901,2.25,39.797,5.5
2011-04-29,914.99,93.16934,4.75,45.833,4.3
2011-04-30,915.80368,93.25219,2.2,45.84,4
2011-05-01,916.35522,93.30835,0.1,42.043,4
2011-05-02,918.00111,93.47595,11.1,53.765,4
2011-05-03,919.35663,93.61397,3,50.989,4
2011-05-04,919.97124,93.67656,0.3,41.614,4
2011-05-05,920.37492,93.71766,0,40.642,4
2011-05-06,920.19877,93.69973,0,35.4,4.3
2011-05-07,920.53482,93.73394,0.15,41.183,4.59
2011-05-08,920.2882,93.70883,0.25,33.434,5
2011-05-09,920.08319,93.68796,0.2,33.227,5
2011-05-10,920.08319,93.68796,0.15,37.5,5
2011-05-11,920.12733,93.69245,0.05,37.929,5
2011-05-12,919.83728,93.66292,0,34.107,5
2011-05-13,919.33027,93.61129,0.05,32.571,5
2011-05-14,918.89864,93.56734,0,32.583,5
2011-05-15,918.29532,93.50591,0,29.966,5
2011-05-16,918.51961,93.52874,8.7,38.787,5
2011-05-17,918.59997,93.53693,1.65,39.258,5
2011-05-18,918.48808,93.52553,0.05,35.459,5
2011-05-19,918.42799,93.51942,0.1,36.741,5
2011-05-20,918.07013,93.48298,0,34.524,5
2011-05-21,917.20376,93.39476,0.1,28.477,5
2011-05-22,917.28971,93.40351,0.2,39.268,5
2011-05-23,916.3778,93.31065,0.1,26.479,5
2011-05-24,916.03732,93.27598,0.15,34.218,5
2011-05-25,914.77042,93.14698,0.1,23.771,5
2011-05-26,914.21153,93.09007,0.1,31.531,5
2011-05-27,913.72962,93.041,0,32.829,5
2011-05-28,913.4618,93.01373,0.1,34.698,5
2011-05-29,912.35097,92.90062,0,23.676,5
2011-05-30,911.09127,92.77235,0.05,22.209,5
2011-05-31,910.85504,92.7483,0.1,35.247,5
2011-06-01,909.71289,92.632,0,24.443,5
2011-06-02,908.87766,92.54695,0,27.983,5
2011-06-03,908.13122,92.47094,0.05,29.106,5
2011-06-04,907.40529,92.39702,0.05,29.942,5
2011-06-05,906.2096,92.27527,0,23.78,5
2011-06-06,906.31457,92.28596,0,36.656,5
2011-06-07,905.23427,92.17596,0.1,25.608,5
2011-06-08,905.78771,92.23231,20.75,42.235,5
2011-06-09,905.12323,92.16465,0,29.868,5
2011-06-10,908.34483,92.49269,23.3,71.523,3.4
2011-06-11,908.70298,92.52916,0.15,40.128,3
2011-06-12,909.75864,92.63665,0.1,48.125,3
2011-06-13,909.01483,92.56091,0.1,26.467,3
2011-06-14,908.88761,92.54796,0.2,35.059,3
2011-06-15,907.66955,92.42393,0.05,22.313,3
2011-06-16,906.97736,92.35345,0.15,28.712,4.17
2011-06-17,906.36507,92.2911,0.1,27.521,4.5
2011-06-18,905.42901,92.19579,0.15,28.644,4.98
2011-06-19,904.56883,92.1082,0.1,28.262,5.5
2011-06-20,903.36158,91.98527,0.15,23.509,5.5
2011-06-21,902.47868,91.89537,0.1,29.283,5.5
2011-06-22,901.91012,91.83747,0.2,32.086,5.5
2011-06-23,900.7739,91.72178,0,25.031,5.5
2011-06-24,900.0726,91.65037,0,28.881,5.5
2011-06-25,899.37208,91.57904,0,29.8,5.5
2011-06-26,897.97613,91.43689,0.05,21.159,5.5
2011-06-27,897.07602,91.34524,8.4,25.669,5.5
2011-06-28,897.08047,91.34569,0.7,36.393,5.5
2011-06-29,896.86979,91.32424,0.15,35.58,5.5
2011-06-30,895.71436,91.20659,0.05,24.601,5.5
2011-07-01,895.07518,91.1415,0.1,31.132,5.5
2011-07-02,893.85465,91.01722,0.05,25.173,5.5
2011-07-03,893.23966,90.9546,0,31.031,5.5
2011-07-04,892.02411,90.83083,0.05,21.36,5.5
2011-07-05,890.98386,90.7249,0,24.61,5.5
2011-07-06,889.91272,90.61583,0.125,25.752,5.5
2011-07-07,889.09116,90.53218,0.05,27.595,5.5
2011-07-08,888.51285,90.47329,0,30.135,5.5
2011-07-09,887.12828,90.33231,0.1,22.339,5.5
2011-07-10,885.46491,90.16293,0.15,18.727,5.5
2011-07-11,884.57551,90.07237,0.1,27.035,5.5
2011-07-12,883.77887,89.99125,0,30.194,5.5
2011-07-13,882.19703,89.83018,0,20.348,5.5
2011-07-14,880.95172,89.70337,0,24.344,5.5
2011-07-15,879.34351,89.53962,0,20.44,5.5
2011-07-16,878.22715,89.42594,0.1,26.114,5.5
2011-07-17,876.96388,89.29731,0.05,23.879,5.5
2011-07-18,875.44459,89.14261,0.05,20.514,6.9
2011-07-19,874.39615,89.03585,0.05,27.842,7.5
2011-07-20,873.21429,88.91551,0.1,26.876,7.5
2011-07-21,871.19112,88.7095,0,17.156,7.5
2011-07-22,869.7912,88.56695,0,25.044,7.5
2011-07-23,868.26467,88.41151,0,22.047,7.21
2011-07-24,867.03106,88.2859,0,23.339,7
2011-07-25,865.84377,88.165,0,23.707,7
2011-07-26,864.40599,88.0186,0.05,23.213,7
2011-07-27,862.92694,87.86799,0.15,23.226,7
2011-07-28,861.37287,87.70975,0.1,21.887,7
2011-07-29,859.77806,87.54736,0,21.628,7.6
2011-07-30,857.3555,87.30068,0,14.02,8.6
2011-07-31,856.27239,87.19039,2.85,27.928,9
2011-08-01,855.37201,87.09871,0,28.278,9
2011-08-02,853.351,86.89292,0.2,17.237,9
2011-08-03,850.69514,86.62248,0.35,10.211,9
2011-08-04,849.01415,86.45131,3.8,21.218,9
2011-08-05,847.66651,86.31409,0.05,24.987,9
2011-08-06,845.15514,86.05837,0,12.77,9
2011-08-07,843.96235,85.93691,0,28.247,9
2011-08-08,842.06533,85.74375,0,19.401,9
2011-08-09,840.32921,85.56697,0,22.319,9
2011-08-10,838.71713,85.40281,0.55,22.91,9
2011-08-11,836.48077,85.1751,1.1,16.007,9
2011-08-12,835.17073,85.0417,0,26.418,9
2011-08-13,832.94637,84.8152,0.05,16.147,9
2011-08-14,830.8413,84.60085,0.05,18.099,9
2011-08-15,828.6548,84.37821,0,14.581,9
2011-08-16,826.53143,84.162,0.1,17.701,9
2011-08-17,824.12295,83.91675,0,14.712,9
2011-08-18,822.68309,83.77014,0,26.051,9
2011-08-19,819.61598,83.45783,0.05,6.139,9
2011-08-20,818.43532,83.33761,0.8,28.583,9
2011-08-21,817.65682,83.25834,14.8,30.822,9
2011-08-22,816.43763,83.13419,0,23.689,9
2011-08-23,814.8519,82.97272,2.75,20.897,9
2011-08-24,813.12247,82.79663,0.2,20.645,9
2011-08-25,811.50507,82.63193,0,22.419,9
2011-08-26,809.39201,82.41677,0.25,18.153,9
2011-08-27,807.04173,82.17745,0.25,15.438,9
2011-08-28,804.55108,81.92384,0,13.241,9
2011-08-29,802.00442,81.66452,0,11.497,9
2011-08-30,799.67982,81.42782,0,16.224,9
2011-08-31,797.65342,81.22148,1.6,19.01,9
2011-09-01,798.16242,81.27331,18.75,45.77,9
2011-09-02,796.47082,81.10106,0.05,21.006,9
2011-09-03,794.28202,80.87819,0,16.301,9
2011-09-04,791.91029,80.63668,0.15,14.349,9
2011-09-05,790.00904,80.44309,0.05,19.066,9
2011-09-06,788.11805,80.25054,0,21.526,9.4
2011-09-07,785.48978,79.98291,0,12.359,9.5
2011-09-08,783.06462,79.73597,0.05,13.653,9.5
2011-09-09,780.78726,79.50407,0,16.726,10.23
2011-09-10,778.45961,79.26706,0,18.473,11.56
2011-09-11,776.35491,79.05275,0.1,20.076,12
2011-09-12,774.16105,78.82936,0.05,17.519,12
2011-09-13,771.75203,78.58406,0,16.842,12
2011-09-14,768.76343,78.27974,0.05,10.867,12
2011-09-15,766.20032,78.01875,0.1,18.27,16.53
2011-09-16,764.21855,77.81696,0.05,23.16,12
2011-09-17,761.72408,77.56296,0,16.508,12
2011-09-18,759.21311,77.30728,0.05,15.576,12
2011-09-19,756.67523,77.04885,0.05,14.456,12
2011-09-20,753.88641,76.76488,0,13.682,12
2011-09-21,751.21783,76.49315,0,14.549,12
2011-09-22,748.93375,76.26057,0.35,16.301,12
2011-09-23,746.01934,75.96381,0.05,10.336,12
2011-09-24,743.15387,75.67204,1.15,11.235,12
2011-09-25,740.92464,75.44504,0.25,16.576,12
2011-09-26,738.09027,75.15643,0,8.839,12
2011-09-27,735.99598,74.94318,0.05,19.902,12
